facility_id,name,departments,department_count,night_care,saturday_care,sunday_or_holiday_care,emergency_24h,rehabilitation_capability,surgery_capability_public_evidence,specialist_public_evidence,collaborative_care_public_evidence,schedule_data_quality,hero_collection_status,hero_collected_at,source_url,source_reliability,recommended_hira_fields
GJH332,지온병원,내과|정형외과|신경외과|마취통증의학과|영상의학과|진단검사의학과,6,yes,yes,yes,no,no,no,no,no,verified,not_collected,,https://www.modoodoc.com/hospital/70885/지온병원-부산-장전동,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH333,더케이부산병원,소아청소년과|내과|피부과,3,yes,yes,yes,no,no,no,no,no,verified,not_collected,,https://pf.kakao.com/_ILWhX,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH334,화창한병원,가정의학과|내과|외과,3,yes,unknown,unknown,no,no,no,no,no,partial_or_unknown,not_collected,,https://www.modoodoc.com/hospital/40451/화창한외과의원-부산-구서동/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH335,단골병원,정형외과|내과|신경과|영상의학과|마취통증의학과,5,yes,yes,no,no,no,no,no,no,verified,not_collected,,https://pf.kakao.com/_xgbfcxb,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH337,더희망찬병원,재활의학과|내과|신경과|정형외과|신경외과|마취통증의학과|영상의학과|가정의학과,8,unknown,unknown,unknown,no,yes,no,no,no,partial_or_unknown,ok,2026-07-15T06:15:24.024Z,https://thehope.co.kr/진료안내/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH339,부산마이크로병원,정형외과 중심 수부·미세수술,1,no,yes,yes,no,no,yes,no,no,verified,ok,2026-07-15T06:15:24.928Z,https://www.busanmicrohospital.com/Content/Content.asp?FileName=guide04&FolderName=guide,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH344,순병원,산부인과|내과|소아청소년과|가정의학과|마취통증의학과|영상의학과,6,yes,yes,no,no,no,no,no,no,verified,not_collected,,https://www.modoodoc.com/hospital/35553/순병원-부산-부곡동/locale/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH346,온사랑병원,내과|정신건강의학과|가정의학과,3,no,yes,no,no,no,no,no,no,verified,not_collected,,https://www.modoodoc.com/hospital/70410/온사랑병원-부산-서동,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH347,메드윌병원,재활의학과|내과|건강검진,3,no,yes,no,no,yes,no,no,no,verified,not_collected,,https://www.modoodoc.com/hospital/35511/메드윌병원-부산-구서동,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH349,새우리병원,정형외과|신경외과|마취통증의학과|내과|영상의학과,5,unknown,unknown,unknown,no,no,no,no,no,partial_or_unknown,error,2026-07-15T06:15:29.199Z,https://xn--q20bz4obtcisfmd770bsg.com/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH351,의료법인아너의료재단 아름다운강산병원,내과|외과|정형외과|비뇨의학과|마취통증의학과|병리과|가정의학과,7,no,yes,yes,no,yes,yes,no,no,verified,ok,2026-07-15T06:15:30.102Z,https://www.gang-san.kr/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH359,세웅병원,내과|신경과|외과|정형외과|마취통증의학과|산부인과|소아청소년과|비뇨의학과|영상의학과|가정의학과,10,yes,unknown,unknown,yes,no,no,no,no,partial_or_unknown,not_collected,,https://mobile.hidoc.co.kr/find/result/view/H0000153220,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH358,의료법인 삼세의료재단 삼세한방병원,정형외과|한방재활의학과|한방부인과|한방내과|침구과,5,yes,yes,yes,no,yes,yes,yes,yes,verified,ok,2026-07-15T06:15:31.369Z,https://samse.co.kr/hospital/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH360,다움병원,내과|정신건강의학과,2,unknown,unknown,unknown,no,no,no,no,no,partial_or_unknown,not_collected,,https://goodhospital.kr/m/ho_view.php?ho_id=67795,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
GJH340,의료법인 천지의료재단 금샘요양병원,내과|가정의학과|요양병원,3,unknown,unknown,unknown,no,no,no,no,no,partial_or_unknown,not_collected,,https://www.easysearch.kr/hospital-a1202342/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,specialist_count|doctor_count|bed_count|equipment|special_treatment|evaluation
