facility_id,name,type,address,latitude,longitude,specialty,phone,source_date,sub_type,base_source
GJH332,지온병원,병원,"부산광역시 금정구 온천장로 146, 지하1,지상3~11층 (장전동)",35.2232197,129.0854428,내과|정형외과|신경외과|마취통증의학과|영상의학과|진단검사의학과,051-714-5770,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH333,더케이부산병원,병원,"부산광역시 금정구 금정로 244, 2~5층 (구서동)",35.2453571,129.0921647,소아청소년과|내과|피부과,051-967-5225,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH334,화창한병원,병원,"부산광역시 금정구 중앙대로1685번길 12, 지하2~6층 (부곡동)",35.2349534,129.0907038,가정의학과|내과|외과,051-514-9119,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH335,단골병원,병원,"부산광역시 금정구 중앙대로 1829, 5~10, 14층 12~13층 일부호 (구서동)",35.2252496,129.0886005,정형외과|내과|신경과|영상의학과|마취통증의학과,051-582-0100,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH337,더희망찬병원,병원,부산광역시 금정구 부곡로 130 (부곡동),35.2228046,129.0908354,재활의학과|내과|신경과|정형외과|신경외과|마취통증의학과|영상의학과|가정의학과,051-255-0200,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH339,부산마이크로병원,병원,부산광역시 금정구 중앙대로 1875 (구서동),35.2316426,129.0915688,정형외과 중심 수부·미세수술(세부 공개 진료과 확인 필요),051-514-1400,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH344,순병원,병원,부산광역시 금정구 중앙대로 1701 (부곡동),35.2607425,129.0914973,산부인과|내과|소아청소년과|가정의학과|마취통증의학과|영상의학과,051-515-0005,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH346,온사랑병원,병원,부산광역시 금정구 서동로 197-1 (서동),35.2176998,129.0950263,내과|정신건강의학과|가정의학과,051-555-0808,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH347,메드윌병원,병원,"부산광역시 금정구 중앙대로 1951 (구서동, 메드월병원)",35.2607425,129.0914973,재활의학과|내과|건강검진,051-519-8000,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH349,새우리병원,병원,부산광역시 금정구 중앙대로 2025 (남산동),35.2252496,129.0886005,정형외과|신경외과|마취통증의학과|내과|영상의학과(공식 사이트 세부 확인 필요),051-516-9999,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
