facility_id,route_factor,outdoor_ratio,slope_level,transfer_count,step_free,elevator,accessible_parking,data_status,verified_date,source_note
GJH332,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH333,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH334,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH335,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH337,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH339,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH344,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH346,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH347,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH349,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH351,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH359,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH358,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH360,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
GJH340,1.3,1.0,0,0,unknown,unknown,unknown,unknown,,현장 또는 기관 전화 확인 필요 · 미검증
