facility_id,name,step_free_entrance,elevator,accessible_parking_on_site,accessible_toilet,accessible_entrance_route,walk_route_observation_count,nearest_origin_walk_km,nearest_origin_walk_minutes,mean_origin_walk_km,mean_origin_walk_minutes,walking_route_source,walking_route_collected_at,parking_information_published,nearby_public_accessible_parking,nearby_public_accessible_parking_spaces,nearby_public_accessible_parking_note,national_standard_match_status,hero_collection_status,hero_collected_at,hospital_source_url,national_standard_source_url,municipal_parking_source_url
GJH332,지온병원,unknown,unknown,unknown,unknown,unknown,3,2.767,32.9,4.611,54.8,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14,no,no,,,service_key_required,not_collected,,https://www.modoodoc.com/hospital/70885/지온병원-부산-장전동,https://www.data.go.kr/data/15100058/standard.do?recommendDataYn=Y,https://council.geumjeong.go.kr/board/view.geumj?boardId=BBS_0000047&dataSid=973084&menuCd=DOM_000000124001002000
GJH333,더케이부산병원,unknown,unknown,unknown,unknown,unknown,3,0.245,3.0,3.784,45.1,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14,no,no,,,service_key_required,not_collected,,https://pf.kakao.com/_ILWhX,https://www.data.go.kr/data/15100058/standard.do?recommendDataYn=Y,https://council.geumjeong.go.kr/board/view.geumj?boardId=BBS_0000047&dataSid=973084&menuCd=DOM_000000124001002000
GJH334,화창한병원,unknown,unknown,unknown,unknown,unknown,3,1.49,17.7,4.222,50.1,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14,no,no,,,service_key_required,not_collected,,https://www.modoodoc.com/hospital/40451/화창한외과의원-부산-구서동/,https://www.data.go.kr/data/15100058/standard.do?recommendDataYn=Y,https://council.geumjeong.go.kr/board/view.geumj?boardId=BBS_0000047&dataSid=973084&menuCd=DOM_000000124001002000
GJH335,단골병원,unknown,unknown,unknown,unknown,unknown,3,2.527,30.1,4.518,53.6,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14,no,no,,,service_key_required,not_collected,,https://pf.kakao.com/_xgbfcxb,https://www.data.go.kr/data/15100058/standard.do?recommendDataYn=Y,https://council.geumjeong.go.kr/board/view.geumj?boardId=BBS_0000047&dataSid=973084&menuCd=DOM_000000124001002000
GJH337,더희망찬병원,unknown,unknown,unknown,unknown,unknown,3,2.797,33.1,4.672,55.5,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14,no,no,,,service_key_required,ok,2026-07-15T06:15:24.024Z,https://thehope.co.kr/진료안내/,https://www.data.go.kr/data/15100058/standard.do?recommendDataYn=Y,https://council.geumjeong.go.kr/board/view.geumj?boardId=BBS_0000047&dataSid=973084&menuCd=DOM_000000124001002000
GJH339,부산마이크로병원,unknown,unknown,unknown,unknown,unknown,3,1.79,21.2,4.251,50.6,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14,no,no,,,service_key_required,ok,2026-07-15T06:15:24.928Z,https://www.busanmicrohospital.com/Content/Content.asp?FileName=guide04&FolderName=guide,https://www.data.go.kr/data/15100058/standard.do?recommendDataYn=Y,https://council.geumjeong.go.kr/board/view.geumj?boardId=BBS_0000047&dataSid=973084&menuCd=DOM_000000124001002000
GJH344,순병원,unknown,unknown,unknown,unknown,unknown,3,1.652,20.9,4.205,51.0,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14,no,no,,,service_key_required,not_collected,,https://www.modoodoc.com/hospital/35553/순병원-부산-부곡동/locale/,https://www.data.go.kr/data/15100058/standard.do?recommendDataYn=Y,https://council.geumjeong.go.kr/board/view.geumj?boardId=BBS_0000047&dataSid=973084&menuCd=DOM_000000124001002000
GJH346,온사랑병원,unknown,unknown,unknown,unknown,unknown,3,3.556,45.1,5.262,65.6,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14,no,no,,,service_key_required,not_collected,,https://www.modoodoc.com/hospital/70410/온사랑병원-부산-서동,https://www.data.go.kr/data/15100058/standard.do?recommendDataYn=Y,https://council.geumjeong.go.kr/board/view.geumj?boardId=BBS_0000047&dataSid=973084&menuCd=DOM_000000124001002000
GJH347,메드윌병원,unknown,unknown,unknown,unknown,unknown,3,1.652,20.9,4.205,51.0,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14,no,no,,,service_key_required,not_collected,,https://www.modoodoc.com/hospital/35511/메드윌병원-부산-구서동,https://www.data.go.kr/data/15100058/standard.do?recommendDataYn=Y,https://council.geumjeong.go.kr/board/view.geumj?boardId=BBS_0000047&dataSid=973084&menuCd=DOM_000000124001002000
GJH349,새우리병원,unknown,unknown,unknown,unknown,unknown,3,2.527,30.1,4.518,53.6,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14,no,no,,,service_key_required,error,2026-07-15T06:15:29.199Z,https://xn--q20bz4obtcisfmd770bsg.com/,https://www.data.go.kr/data/15100058/standard.do?recommendDataYn=Y,https://council.geumjeong.go.kr/board/view.geumj?boardId=BBS_0000047&dataSid=973084&menuCd=DOM_000000124001002000
