facility_id,name,facility_type,address,phone,latitude,longitude,geocode_label,base_data_date,base_source,departments,regular_schedule,today_open_status,verified_date,source_url,reliability
GJH332,지온병원,병원,"부산광역시 금정구 온천장로 146, 지하1,지상3~11층 (장전동)",051-714-5770,35.2232197,129.0854428,"온천장로, 장전3동, 금정구, 부산광역시, 46298, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,내과|정형외과|신경외과|마취통증의학과|영상의학과|진단검사의학과,월·수·금 09:00-18:00; 화·목 09:00-21:00; 토·일 09:00-13:00; 점심 13:00-14:00,실시간 미확인,2026-07-14,https://www.modoodoc.com/hospital/70885/지온병원-부산-장전동,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH333,더케이부산병원,병원,"부산광역시 금정구 금정로 244, 2~5층 (구서동)",051-967-5225,35.2453571,129.0921647,"금정로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,소아청소년과|내과|피부과,매일 09:00-22:00(공식 카카오 채널 표시; 방문 전 확인),실시간 미확인,2026-07-14,https://pf.kakao.com/_ILWhX,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH334,화창한병원,병원,"부산광역시 금정구 중앙대로1685번길 12, 지하2~6층 (부곡동)",051-514-9119,35.2349534,129.0907038,"중앙대로1685번길, 부곡동, 부곡2동, 금정구, 부산광역시, 46285, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,가정의학과|내과|외과,월-목 09:00-22:00로 공개 검색 확인; 금-일 세부시간 미확인,실시간 미확인,2026-07-14,https://www.modoodoc.com/hospital/40451/화창한외과의원-부산-구서동/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH335,단골병원,병원,"부산광역시 금정구 중앙대로 1829, 5~10, 14층 12~13층 일부호 (구서동)",051-582-0100,35.2252496,129.0886005,"중앙대로, 장전3동, 금정구, 부산광역시, 46298, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,정형외과|내과|신경과|영상의학과|마취통증의학과,평일 09:00-18:00; 정형외과 야간 18:00-19:30; 토 09:00-13:00; 점심 12:30-13:30; 일·공휴일 휴무,실시간 미확인,2026-07-14,https://pf.kakao.com/_xgbfcxb,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH337,더희망찬병원,병원,부산광역시 금정구 부곡로 130 (부곡동),051-255-0200,35.2228046,129.0908354,"부곡로, 부곡1동, 금정구, 부산광역시, 46305, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,재활의학과|내과|신경과|정형외과|신경외과|마취통증의학과|영상의학과|가정의학과,세부시간 이미지형으로 자동 확인 불가; 전화 확인 필요,실시간 미확인,2026-07-14,https://thehope.co.kr/진료안내/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH339,부산마이크로병원,병원,부산광역시 금정구 중앙대로 1875 (구서동),051-514-1400,35.2316426,129.0915688,"중앙대로, 부곡동, 부곡2동, 금정구, 부산광역시, 46279, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,정형외과 중심 수부·미세수술(세부 공개 진료과 확인 필요),평일 09:00-18:00; 토 09:00-13:00; 점심 12:30-13:30,실시간 미확인,2026-07-14,https://www.busanmicrohospital.com/Content/Content.asp?FileName=guide04&FolderName=guide,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH344,순병원,병원,부산광역시 금정구 중앙대로 1701 (부곡동),051-515-0005,35.2607425,129.0914973,"중앙대로, 남산동, 구서2동, 금정구, 부산광역시, 46215, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,산부인과|내과|소아청소년과|가정의학과|마취통증의학과|영상의학과,평일 09:00-17:30; 월 산부인과 19:30까지; 토 09:00-13:00; 점심 13:00-14:00; 일·공휴일 휴무,실시간 미확인,2026-07-14,https://www.modoodoc.com/hospital/35553/순병원-부산-부곡동/locale/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH346,온사랑병원,병원,부산광역시 금정구 서동로 197-1 (서동),051-555-0808,35.2176998,129.0950263,"서동로, 서1동, 금정구, 부산광역시, 46318, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,내과|정신건강의학과|가정의학과,평일 09:00-18:00; 토 09:00-13:00; 점심 12:30-13:30; 일·공휴일 휴무,실시간 미확인,2026-07-14,https://www.modoodoc.com/hospital/70410/온사랑병원-부산-서동,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH347,메드윌병원,병원,"부산광역시 금정구 중앙대로 1951 (구서동, 메드월병원)",051-519-8000,35.2607425,129.0914973,"중앙대로, 남산동, 구서2동, 금정구, 부산광역시, 46215, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,재활의학과|내과|건강검진,월 09:00-18:00; 화-금 09:00-17:30; 토 09:00-13:00; 일·공휴일 휴무,실시간 미확인,2026-07-14,https://www.modoodoc.com/hospital/35511/메드윌병원-부산-구서동,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH349,새우리병원,병원,부산광역시 금정구 중앙대로 2025 (남산동),051-516-9999,35.2252496,129.0886005,"중앙대로, 장전3동, 금정구, 부산광역시, 46298, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,정형외과|신경외과|마취통증의학과|내과|영상의학과(공식 사이트 세부 확인 필요),미확인; 공식 진료일정 또는 전화 확인 필요,실시간 미확인,2026-07-14,https://xn--q20bz4obtcisfmd770bsg.com/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH351,의료법인아너의료재단 아름다운강산병원,병원,부산광역시 금정구 공단로 7 (금사동),051-526-7100,35.2177051,129.1127213,"공단로, 회동 공업단지, 금사동, 금사회동동, 금정구, 부산광역시, 46333, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,내과|외과|정형외과|비뇨의학과|마취통증의학과|병리과|가정의학과 등,평일 09:00-17:30; 토 09:00-12:30; 점심 12:30-13:30,실시간 미확인,2026-07-14,https://www.gang-san.kr/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH359,세웅병원,병원,부산광역시 금정구 서동로 162 (서동),051-500-9700,35.215784,129.100454,"서동한의원, 서동로, 서2동, 금정구, 부산광역시, 46318, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,내과|신경과|외과|정형외과|마취통증의학과|산부인과|소아청소년과|비뇨의학과|영상의학과|가정의학과,평일 09:00-18:00; 주말 세부시간 미확인; 24시간 응급진료 공개,실시간 미확인,2026-07-14,https://mobile.hidoc.co.kr/find/result/view/H0000153220,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH358,의료법인 삼세의료재단 삼세한방병원,한방병원,부산광역시 금정구 중앙대로 1580 (부곡동),051-583-5400,35.2607425,129.0914973,"중앙대로, 남산동, 구서2동, 금정구, 부산광역시, 46215, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,정형외과|한방재활의학과|한방부인과|한방내과|침구과,월-금 09:00-20:00; 토·일·휴일 09:00-17:00; 설·추석 당일 제외,실시간 미확인,2026-07-14,https://samse.co.kr/hospital/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH360,다움병원,병원,부산광역시 금정구 체육공원로 608 (두구동),051-508-0011,35.2917251,129.1110547,"체육공원로, 두구동, 선두구동, 금정구, 부산광역시, 46208, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,내과|정신건강의학과,월-금 09:30-17:00~17:30(출처 간 차이); 주말 미확인,실시간 미확인,2026-07-14,https://goodhospital.kr/m/ho_view.php?ho_id=67795,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
GJH340,의료법인 천지의료재단 금샘요양병원,요양병원,부산광역시 금정구 남산냇길 111 (청룡동),051-931-0119,35.2748496,129.088465,"남산냇길, 청룡노포동, 금정구, 부산광역시, 46218, 대한민국",2026-03-05,https://www.data.go.kr/data/3078698/fileData.do,내과|가정의학과|요양병원,미확인; 전화 확인 필요,실시간 미확인,2026-07-14,https://www.easysearch.kr/hospital-a1202342/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요
