facility_id,name,data_status,source_level,mon,tue,wed,thu,fri,sat,sun,lunch,holiday,verified_date,source_name,source_url,notes,schedule_text
GJH332,지온병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://www.modoodoc.com/hospital/70885/지온병원-부산-장전동,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,월·수·금 09:00-18:00; 화·목 09:00-21:00; 토·일 09:00-13:00; 점심 13:00-14:00
GJH333,더케이부산병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://pf.kakao.com/_ILWhX,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,매일 09:00-22:00(공식 카카오 채널 표시; 방문 전 확인)
GJH334,화창한병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://www.modoodoc.com/hospital/40451/화창한외과의원-부산-구서동/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,월-목 09:00-22:00로 공개 검색 확인; 금-일 세부시간 미확인
GJH335,단골병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://pf.kakao.com/_xgbfcxb,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,평일 09:00-18:00; 정형외과 야간 18:00-19:30; 토 09:00-13:00; 점심 12:30-13:30; 일·공휴일 휴무
GJH337,더희망찬병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://thehope.co.kr/진료안내/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,세부시간 이미지형으로 자동 확인 불가; 전화 확인 필요
GJH339,부산마이크로병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://www.busanmicrohospital.com/Content/Content.asp?FileName=guide04&FolderName=guide,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,평일 09:00-18:00; 토 09:00-13:00; 점심 12:30-13:30
GJH344,순병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://www.modoodoc.com/hospital/35553/순병원-부산-부곡동/locale/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,평일 09:00-17:30; 월 산부인과 19:30까지; 토 09:00-13:00; 점심 13:00-14:00; 일·공휴일 휴무
GJH346,온사랑병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://www.modoodoc.com/hospital/70410/온사랑병원-부산-서동,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,평일 09:00-18:00; 토 09:00-13:00; 점심 12:30-13:30; 일·공휴일 휴무
GJH347,메드윌병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://www.modoodoc.com/hospital/35511/메드윌병원-부산-구서동,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,월 09:00-18:00; 화-금 09:00-17:30; 토 09:00-13:00; 일·공휴일 휴무
GJH349,새우리병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://xn--q20bz4obtcisfmd770bsg.com/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,미확인; 공식 진료일정 또는 전화 확인 필요
