region,population,elderly_population,reference_date
부산광역시 금정구,206033,59484,2026-03-31
서1동,3938,1737,2026-03-31
서2동,7588,2890,2026-03-31
서3동,9561,3831,2026-03-31
금사회동동,6621,2715,2026-03-31
부곡1동,6914,2841,2026-03-31
부곡2동,16437,4308,2026-03-31
부곡3동,14332,3801,2026-03-31
부곡4동,11046,3879,2026-03-31
장전1동,18120,3088,2026-03-31
장전2동,26216,5520,2026-03-31
선두구동,1929,853,2026-03-31
청룡노포동,8896,3253,2026-03-31
남산동,25198,7991,2026-03-31
구서1동,18205,4442,2026-03-31
구서2동,30175,8016,2026-03-31
금성동,857,319,2026-03-31
