순번,의료기관명,의료기관주소(도로명),의료기관전화번호
1,서동가정의학과의원,"부산광역시 금정구 서부로16번길 3, 2,4,5,6층 (서동)",051-000-0000
2,이준정형외과의원,"부산광역시 금정구 구서로 2, 정우빌딩 6층 602호 (구서동)",051-711-6500
3,늘봄의원,"부산광역시 금정구 수림로 55, 3층 (장전동)",051-513-7582
4,단스위티의원,"부산광역시 금정구 장전온천천로 51, 테라스파크 4층 406호 (장전동)",051-925-9595
5,김유정내과의원,"부산광역시 금정구 장전로 10, 가온메디컬 5층 (장전동)",051-913-7000
6,금정바른정형외과의원,"부산광역시 금정구 수림로 15, 하나클리닉센터 3층 (부곡동)",051-932-1234
7,참좋은안과의원,"부산광역시 금정구 구서로 23, 화산빌딩 4층 (구서동)",051-711-4333
8,태흥당한의원,"부산광역시 금정구 구서로 7, 2층 (구서동)",051-715-9475
9,튼튼드림의원,"부산광역시 금정구 장전온천천로 48, 부산대지하철역 1층 2호 일부호 (장전동)",051-517-8881
10,금정경희한의원,"부산광역시 금정구 금강로 338-1, 2층 일부호 (장전동)",051-515-3650
11,두실내과의원,"부산광역시 금정구 중앙대로 1931, 구서동 175-37 2층 (구서동)",051-711-1707
12,민들레돌봄의원,"부산광역시 금정구 중앙대로 2093, 수광빌딩 3층일부7,8,10층 일부호 (남산동)",051-791-1193
13,연세바로본의원,"부산광역시 금정구 서동로 159-1, 4,5층 (서동)",051-525-0111
14,서동 미로내과의원,"부산광역시 금정구 서동로 159-1, 2,3층 (서동)",051-942-2000
15,백미경산부인과의원,"부산광역시 금정구 중앙대로 1711, 금정빌딩 2층 (부곡동)",051-516-9222
16,남산내과의원,"부산광역시 금정구 중앙대로 1917, 2~4층 (구서동)",051-582-9461
17,바른해인한의원,"부산광역시 금정구 금강로 198, 1층 (장전동)",051-710-8588
18,사랑가득의원,"부산광역시 금정구 중앙대로1841번길 24, (주)이마트금정점 2층 (구서동)",051-863-6789
19,보스톤플란트치과의원,"부산광역시 금정구 서동로 168, 3,4층 (서동)",051-711-2870
20,권마취통증의학과의원,"부산광역시 금정구 중앙대로1719번길 16, 참한빌딩 3층 (부곡동)",051-516-8516
21,정성다한의원,"부산광역시 금정구 중앙대로1841번길 24, (주)이마트금정점 2층 (구서동)",051-516-8725
22,튼튼치과의원,"부산광역시 금정구 수림로 17, 3층 (부곡동)",051-583-1231
23,로아르피부과의원,"부산광역시 금정구 금강로 441, 이강빌딩 5층 (구서동)",051-714-1312
24,송수진산부인과의원,"부산광역시 금정구 구서로 14, 태명제1빌딩 4층 (구서동)",051-583-7576
25,속시원내과의원,"부산광역시 금정구 금강로 441, 이강빌딩 4층 (구서동)",051-715-8250
26,해유한의원,"부산광역시 금정구 중앙대로1629번길 16, 상가동 2층 201호 (부곡동, 삼한골든뷰 에듀스테이션)",051-515-7700
27,몸바로한의원 부곡점,"부산광역시 금정구 부곡로 118, 동원빌딩 2층 (부곡동)",051-517-7975
28,만세한의원,"부산광역시 금정구 서부곡로 2, 1층 (부곡동)",051-581-9881
29,미네소타구강악안면외과치과의원,"부산광역시 금정구 중앙대로1629번길 16, 301동 2층 202호 (부곡동)",051-515-1975
30,케이케이의원,"부산광역시 금정구 부산대학로 29, 네오스퀘어 3층 (장전동)",051-715-0713
31,이주원내과의원,"부산광역시 금정구 중앙대로 2107, 범어사지하철역 상가2호 (청룡동)",051-515-0625
32,뉴티스치과교정과치과의원,"부산광역시 금정구 구서로 17, 덕원메디컬 5층 502호 (구서동)",051-715-2872
33,단디치과의원,"부산광역시 금정구 서동로 151, 2층 (서동)",051-529-7608
34,올바른정형외과의원,"부산광역시 금정구 금강로 441, 태영빌딩 3층 (구서동)",051-710-7171
35,더힘찬한의원,"부산광역시 금정구 구서로 14, 태명제1빌딩 2,3층 (구서동)",051-714-1358
36,서울신세계치과의원,"부산광역시 금정구 금강로 441, 태영빌딩 6층 (구서동)",051-516-8881
37,서울 당신을 위한 정형외과의원,"부산광역시 금정구 장전로 10, 가온메디컬 103호, 201호 (장전동)",051-517-2607
38,오윤한의원,"부산광역시 금정구 중앙대로 1943, 2층 201호 (구서동, 첨단빌딩)",051-515-9555
39,우리산부인과의원,"부산광역시 금정구 서동로 168, 송월빌딩 6층 (서동)",051-527-3333
40,온마음치과의원,"부산광역시 금정구 중앙대로 2029, 대원빌딩 2층 (남산동)",051-714-2893
41,금정소아청소년과의원,"부산광역시 금정구 금정로 244, 1,6층 (구서동)",051-967-5222
42,포심정신건강의학과의원,"부산광역시 금정구 오시게로 22, 4층 (부곡동)",051-518-4010
43,조은치과의원,"부산광역시 금정구 서동로 158-2, 4층 401호 (서동)",051-523-1364
44,조은어깨동무정형외과의원,부산광역시 금정구 온천장로 131 (장전동),051-711-5365
45,류마통내과의원,"부산광역시 금정구 중앙대로 2027, 새생명빌딩 3층 (남산동)",051-715-7050
46,백두한의원,"부산광역시 금정구 금강로 414, 1층 (구서동)",051-791-2749
47,원이비인후과의원,"부산광역시 금정구 금정로 151-1, 거성빌딩 2,3층 (장전동)",051-711-8090
48,두실정담한의원,"부산광역시 금정구 중앙대로 1939, 3층 (구서동)",051-515-3999
49,참편한한의원 부곡점,부산광역시 금정구 부곡로 120 (부곡동),051-516-1077
50,가까운내과의원,"부산광역시 금정구 구서로 10, 3층 (구서동)",051-710-2788
51,미소인치과의원,"부산광역시 금정구 중앙대로1719번길 30, 2층 (부곡동)",051-516-2828
52,부산튼튼정형외과의원,"부산광역시 금정구 부곡로 124, KB국민은행 2-4층 (부곡동)",051-714-0064
53,강샘온가족의원,"부산광역시 금정구 금강로 376, 2층 (장전동)",051-516-0326
54,서재득신경과의원,"부산광역시 금정구 서동로 168, 송월빌딩 2층 (서동)",051-528-1119
55,명성한의원,"부산광역시 금정구 온천장로 131, 2층 (장전동)",051-582-3412
56,대세한의원,"부산광역시 금정구 서부로 6, 1층 (서동)",051-949-0533
57,경한의원,"부산광역시 금정구 장전로 32, 1층 (장전동)",051-582-1245
58,속속드리내과의원,"부산광역시 금정구 오시게로 22, 2층 (부곡동)",051-501-2079
59,돌고래마취통증의학과의원,"부산광역시 금정구 중앙대로 1941, 태일빌딩 4층 (구서동)",051-512-9001
60,이로운치과의원,"부산광역시 금정구 금정로 151-1, 4층 (장전동)",051-518-8575
61,"연세수마취통증의학과,류마내과의원","부산광역시 금정구 구서로 10, 6층 (구서동)",051-937-3331
62,한솔한의원,"부산광역시 금정구 구서로 10, 2층 (구서동)",051-515-9988
63,금샘치과의원,"부산광역시 금정구 구서로 10, 2층 (구서동)",051-517-2897
64,해인한의원,"부산광역시 금정구 부곡로 131, 1,2층 (부곡동)",051-714-5125
65,금정성모안과의원,"부산광역시 금정구 구서로 10, 501호 (구서동)",051-711-7977
