facility_id,name,data_status,source_level,mon,tue,wed,thu,fri,sat,sun,lunch,holiday,verified_date,source_name,source_url,notes
GJ-H-001,금정바른정형외과의원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-002,금정소아청소년과의원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-003,김유정내과의원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-004,누가정형외과재활의학과의원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-005,메드윌병원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,메드윌병원 공식 홈페이지,https://medwill.co.kr/,월별 휴진 공지는 있으나 정규 시간표 확인 필요
GJ-H-006,민들레내과의원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-007,부산마이크로병원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-008,새우리남산병원,available,secondary,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,휴무,12:30-13:30,휴무,2026-07-14,하이닥 병원찾기(HIRA 기반),https://mobile.hidoc.co.kr/find/result/view/H0000153111,24시간 응급 진료 안내와 외래 시간은 구분해야 함
GJ-H-009,서동가정의학과의원,available,official,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,휴무,12:30-14:00,확인 필요,2026-07-14,서동가정의학과의원 공식 홈페이지,https://seodongfmc.com/28,공휴일은 전화 확인 필요
GJ-H-010,서재득신경과의원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-011,세웅병원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-012,원이비인후과의원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-013,이준정형외과의원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-014,지온병원,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,기관 확인 필요
GJ-H-015,화창한병원,available,secondary,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,12:30-13:30,확인 필요,2026-07-14,나만의닥터 병원정보,https://my-doctor.io/hospital/detail?hospital_id=1758,공휴일과 임시 휴진은 전화 확인 필요
GJ-P-016,가온샘약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-017,금성약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-018,맑은약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-019,미솜약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-020,범어사메트로약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-021,봄약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-022,부곡온누리약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-023,수강약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-024,스타약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-025,신제일약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-026,우리약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
GJ-P-027,장전 온누리약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요
